2019-06-07 19:28:51		Kastamonu, Türkiye	chp ankara işemek hızlı başladı _punctuation_ hedef _number_ tüm ankara'yi çöplük yapmak _punctuation_ _url_ 
2019-06-07 19:28:46		Derince, Türkiye	_punctuation_ rt _mention_ _punctuation_ fenerbahçe şampiyon yapmak koçmak aile chp ada için tam gaz çalışıyor _punctuation_ _punctuation_ fenerbahçe şike etiket yapışmak ch _punctuation_ _punctuation_ 
2019-06-07 19:28:33		Ankara, Türkiye	fenerbahçe basmak açıklama _punctuation_ gt _punctuation_ chp 
2019-06-07 19:28:29		België	_punctuation_ rt _mention_ _punctuation_ chp ekrem i̇mamoğlu halk beraber uçak binmek biri çıkmak _punctuation_ _punctuation_ buyrun efendim _punctuation_ siz vip'e alalım _punctuation_ _punctuation_ deseydi _punctuation_ _punctuation_ _punctuation_ ne demek vip _punctuation_ _punctuation_ _punctuation_ 
2019-06-07 19:28:28		Türkiye	_punctuation_ rt _mention_ _punctuation_ fark mı _mention_ _imamoglu se ne dermek #akp emir olmak algılamak ve derhâl uyguluyor _punctuation_ su akbil pi bayram ü _punctuation_ _punctuation_ 
2019-06-07 19:28:22		Kocaeli, Türkiye	_mention_ chp gitmek i̇srail le iş birlik bulunmak bile yine akp yemek oy vermek_degil chp yemek sevmek sevmek oy veririm _punctuation_ 
2019-06-07 19:28:19		Turkey	_mention_ ada chp yandaş olmak ugur dündar seçmiş _punctuation_ seni seçmek_degil diye hâlen bişeyler üretiyosun _punctuation_ 
2019-06-07 19:27:42		İzmir, Türkiye	_punctuation_ rt _mention_ _71 _punctuation_ #hırsızchp bir de ters düşünmek #chp nin onbinlerce oy #akparti yemek yazıldığını _punctuation_ #düşünün #hırsızchp nin dışarı işbi _punctuation_ _punctuation_ 
2019-06-07 19:27:26		Silivri, Türkiye	rt _mention_ _punctuation_ _mention_ chp demek millet irade seçi önce sığınmak aradağını bulmak anmak hakaret etmektir _punctuation_ _url_ _punctuation_ 
2019-06-07 19:27:23		Türkiye	_punctuation_ rt _mention_ _punctuation_ _mention_ hep tek tek olmak söylemek bıkmayacağım _punctuation_ chp ada değil seçilmek istanbul büyük şehir belediye _punctuation_ _punctuation_ 
2019-06-07 19:27:20		 Türkiye	_punctuation_ rt _mention_ _71 _punctuation_ #hırsızchp bir de ters düşünmek #chp nin onbinlerce oy #akparti yemek yazıldığını _punctuation_ #düşünün #hırsızchp nin dışarı işbi _punctuation_ _punctuation_ 
2019-06-07 19:27:12		Turkey	chp erkek _punctuation_ yazlik saray _punctuation_ iddiası _punctuation_ belli bölümlemek cumhurbaşkanı _punctuation_ _url_ _url_ 
2019-06-07 19:27:02		Sosyal Gelişim Uzmanı	_punctuation_ rt _mention_ _punctuation_ chp argüman kalmak_degil ve vip savunma yapmak _punctuation_ _punctuation_ ama sedat peker vip'ten geçiyor _punctuation_ _punctuation_ diye algı yaptılar _punctuation_ ne alakaysa _punctuation_ _punctuation_ sedat pe _punctuation_ _punctuation_ 
2019-06-07 19:26:34		İzmir, Türkiye	_punctuation_ rt _mention_ _punctuation_ _punctuation_ _punctuation_ devletiniz terörist _punctuation_ _punctuation_ demek ahmet şık bugün hdp i̇stanbul milletvekili ve chp aday desteklemek _punctuation_ _punctuation_ tc katil sürüsü _punctuation_ _punctuation_ diyen _punctuation_ _punctuation_ 
2019-06-07 19:26:09		Kahramanmaraş, Türkiye	_mention_ _mention_ şevket bey ülkü akp ve chp bin vagon olmak bilge lider bahçe sayesinde 
2019-06-07 19:26:05		Türkiye	rt _mention_ _punctuation_ akp _punctuation_ chp _punctuation_ bir çivi çakmamakla _punctuation_ suçlar _punctuation_ ecevit _punctuation_ türkiye 1965-75 _punctuation_ kitap göre keban ve oymapınar barajları _punctuation_ afşin-e _punctuation_ 
2019-06-07 19:26:02		çorlu/TEKİRDAĞ	_punctuation_ rt _mention_ _punctuation_ chp belediye nedir _punctuation_ ankara çankaya _number_ m2 ev emlak vergisini _punctuation_ apartman otoparkını _punctuation_ bahçesini _punctuation_ koridorunu _punctuation_ _punctuation_ 
2019-06-07 19:26:00		İstanbul, Türkiye	_punctuation_ rt _mention_ _punctuation_ chp ekrem i̇mamoğlu halk beraber uçak binmek biri çıkmak _punctuation_ _punctuation_ buyrun efendim _punctuation_ siz vip'e alalım _punctuation_ _punctuation_ deseydi _punctuation_ _punctuation_ _punctuation_ ne demek vip _punctuation_ _punctuation_ _punctuation_ 
2019-06-07 19:26:00		Erzurum, Türkiye Atatürk ünive	_mention_ _mention_ _mention_ uğur dündar demek chp yalamak moderatör olmak kabul etmek kabul etmek teklif dâhi etmek 
2019-06-07 19:25:57		İstanbul	rt _mention_ _punctuation_ akp _punctuation_ chp _punctuation_ bir çivi çakmamakla _punctuation_ suçlar _punctuation_ ecevit _punctuation_ türkiye 1965-75 _punctuation_ kitap göre keban ve oymapınar barajları _punctuation_ afşin-e _punctuation_ 
2019-06-07 19:25:56		İstanbul, Türkiye	rt _mention_ _punctuation_ akp _punctuation_ chp _punctuation_ bir çivi çakmamakla _punctuation_ suçlar _punctuation_ ecevit _punctuation_ türkiye 1965-75 _punctuation_ kitap göre keban ve oymapınar barajları _punctuation_ afşin-e _punctuation_ 
2019-06-07 19:25:50		Erzurum	chp i̇bb başkan adayı _punctuation_ i̇spark _punctuation_ ı hdp yemek vermek yön iddia açık getirmelidir _punctuation_ 
2019-06-07 19:25:46		Silivri, Türkiye	_punctuation_ rt _mention_ _punctuation_ fenerbahçe şampiyon yapmak koçmak aile chp ada için tam gaz çalışıyor _punctuation_ _punctuation_ fenerbahçe şike etiket yapışmak ch _punctuation_ _punctuation_ 
2019-06-07 19:25:24		Mustafa Kemal, Ankara	rt _mention_ _punctuation_ mhp yalçın _punctuation_ belediye chp almak terörist kadro _url_ _url_ 
2019-06-07 19:25:15		istanbul	rt _mention_ _punctuation_ akp _punctuation_ chp _punctuation_ bir çivi çakmamakla _punctuation_ suçlar _punctuation_ ecevit _punctuation_ türkiye 1965-75 _punctuation_ kitap göre keban ve oymapınar barajları _punctuation_ afşin-e _punctuation_ 
2019-06-07 19:25:01		Türkiye	işte chp aykut erdoğdu plan skandal _url_ _url_ 
2019-06-07 19:25:01		Turkey	_mention_ _baba _mention_ _mention_ _mention_ _yildirim _mention_ _imamoglu _mention_ _istanbulil _mention_ _mention_ _mention_ _mention_ _bilgi _mention_ _mention_ ben çekmek magduruyum çekmek hapis ceza kalkmak istemek alacagımı vermek_degil bemde borç ödeyemiyorum _punctuation_ bu yasa degişmesi lazım en son şili ve arjantin varmak ora bile degişti sadece türkiye var _punctuation_ 
2019-06-07 19:24:52		Sakarya, Türkiye	_mention_ _mention_ __571 erdoğan servet _number_ katı servet var ama chp atgözlüğünü çıkartamadılar _punctuation_ _punctuation_ 
2019-06-07 19:24:45		İşadamı Çanakkale-istanbul	rt _mention_ _punctuation_ akp _punctuation_ chp _punctuation_ bir çivi çakmamakla _punctuation_ suçlar _punctuation_ ecevit _punctuation_ türkiye 1965-75 _punctuation_ kitap göre keban ve oymapınar barajları _punctuation_ afşin-e _punctuation_ 
2019-06-07 19:24:39		İstanbul, Türkiye	rt _mention_ _punctuation_ chp i̇stanbul aday kendi sorumak sormak bir esnaf _punctuation_ ukala _punctuation_ _punctuation_ _punctuation_ senin beyin uyuşmuş _punctuation_ gibi hakaret görüntü y _punctuation_ 
2019-06-07 19:24:15		kastamonu/taşköprü	rt _mention_ _punctuation_ ömer turan fazla ciddi alıyorsunuz _punctuation_ dün ak parti bugün chp li yarın da hdp li olur _url_ 
2019-06-07 19:24:14		Aleppo, Syria	rt _mention_ _punctuation_ chp i̇stanbul aday kendi sorumak sormak bir esnaf _punctuation_ ukala _punctuation_ _punctuation_ _punctuation_ senin beyin uyuşmuş _punctuation_ gibi hakaret görüntü y _punctuation_ 
2019-06-07 19:24:12		Tokat, Türkiye	_punctuation_ rt _mention_ _punctuation_ muhalefet iken _punctuation_ devlet vali itmek ysk üye çete devlet başkan diktatör _punctuation_ iktidar iken _punctuation_ arapça eza yasak _punctuation_ _punctuation_ 
2019-06-07 19:24:06		İstanbul, Türkiye	_mention_ _mention_ hdp milletvekili sır sakık zamanında mustafa kemal asker demek itmek sürü demek hem de mitingde _punctuation_ hiç fox da haber duymak mu _punctuation_ tek kelim dâhi etmek_degil chp _punctuation_ _punctuation_ _punctuation_ _punctuation_ _punctuation_ neden _punctuation_ akıl almak mu _punctuation_ almak_degil zorlamak_degil _punctuation_ _punctuation_ zorla olmaz _punctuation_ _punctuation_ 
